,ChEMBL_ID,pIC50,SMILES,natural_product,train-NP_CVfold-0,train-NP_CVfold-1,train-NP_CVfold-2,train-NP_CVfold-3,train-NP_CVfold-4,train-nonNP_CVfold-0,train-nonNP_CVfold-1,train-nonNP_CVfold-2,train-nonNP_CVfold-3,train-nonNP_CVfold-4,train-stratifiedNP_CVfold-0,train-stratifiedNP_CVfold-1,train-stratifiedNP_CVfold-2,train-stratifiedNP_CVfold-3,train-stratifiedNP_CVfold-4
1,CHEMBL162147,8.71,Cc1nc2c(Cl)cc(C(F)(F)F)cn2c(=O)c1CCN1CCc2oc3ccccc3c2C1,False,test-nonNP,ignore,ignore,ignore,ignore,test-nonNP,train,train,train,train,test-nonNP,train,train,train,train
2,CHEMBL162370,8.81,Cc1ccc2nc(C)c(CCN3CCc4oc5ccccc5c4C3)c(=O)n2c1,False,test-nonNP,ignore,ignore,ignore,ignore,test-nonNP,train,train,train,train,test-nonNP,train,train,train,train
3,CHEMBL162436,8.38,O=c1c(CCN2CCc3oc4ccccc4c3C2)c(Cc2ccccc2)nc2ccccn12,False,test-nonNP,ignore,ignore,ignore,ignore,test-nonNP,train,train,train,train,test-nonNP,train,train,train,train
4,CHEMBL162501,8.59,Cc1nc2ccccn2c(=O)c1CCN1CCc2oc3ccccc3c2C1,False,test-nonNP,ignore,ignore,ignore,ignore,test-nonNP,train,train,train,train,test-nonNP,train,train,train,train
5,CHEMBL164612,8.36,Cc1nc2ccccn2c(=O)c1CCN1CCc2oc3c(Cl)cccc3c2C1,False,test-nonNP,ignore,ignore,ignore,ignore,test-nonNP,train,train,train,train,test-nonNP,train,train,train,train
6,CHEMBL2203713,4.5,N=C(Nc1ccc2c(c1)CCN2C1CCNCC1)c1cccs1,False,test-nonNP,ignore,ignore,ignore,ignore,test-nonNP,train,train,train,train,test-nonNP,train,train,train,train
7,CHEMBL351200,8.67,Cc1nc2c(C)cccn2c(=O)c1CCN1CCc2oc3ccccc3c2C1,False,test-nonNP,ignore,ignore,ignore,ignore,test-nonNP,train,train,train,train,test-nonNP,train,train,train,train
8,CHEMBL4483761,6.1,CCOc1cc(N2CCC3(CC2)C(=O)Nc2ccc(Br)cc23)nnc1C(F)(F)F,False,test-nonNP,ignore,ignore,ignore,ignore,test-nonNP,train,train,train,train,test-nonNP,train,train,train,train
9,CHEMBL461571,6.11,Cc1c(C(=O)c2ccc(Cl)cc2)c2ccc(OC(F)(F)F)cc2n1Cc1cccc(O[C@H](C)C(=O)O)c1,False,test-nonNP,ignore,ignore,ignore,ignore,test-nonNP,train,train,train,train,test-nonNP,train,train,train,train
10,CHEMBL119385,4.5,O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl,False,ignore,test-nonNP,ignore,ignore,ignore,train,test-nonNP,train,train,train,train,test-nonNP,train,train,train
11,CHEMBL1262,5.44,Clc1ccc(CO/N=C(\Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,False,ignore,test-nonNP,ignore,ignore,ignore,train,test-nonNP,train,train,train,train,test-nonNP,train,train,train
12,CHEMBL162490,8.69,COc1cccn2c(=O)c(CCN3CCc4oc5ccccc5c4C3)c(C)nc12,False,ignore,test-nonNP,ignore,ignore,ignore,train,test-nonNP,train,train,train,train,test-nonNP,train,train,train
13,CHEMBL162826,8.76,Cc1nc2c(O)cccn2c(=O)c1CCN1CCc2oc3ccccc3c2C1,False,ignore,test-nonNP,ignore,ignore,ignore,train,test-nonNP,train,train,train,train,test-nonNP,train,train,train
14,CHEMBL165677,7.1,Cc1nc2ccccn2c(=O)c1CCN1CCc2oc3ccc(Cl)cc3c2C1,False,ignore,test-nonNP,ignore,ignore,ignore,train,test-nonNP,train,train,train,train,test-nonNP,train,train,train
15,CHEMBL1902981,5.52,CCc1ccc(C(=O)C(C)CN2CCCCC2)cc1,False,ignore,test-nonNP,ignore,ignore,ignore,train,test-nonNP,train,train,train,train,test-nonNP,train,train,train
17,CHEMBL4061793,5.1,O=S(=O)(Nc1nccs1)c1cc(Cl)c(NCC23CCCN2CCC3)cc1F,False,ignore,test-nonNP,ignore,ignore,ignore,train,test-nonNP,train,train,train,train,test-nonNP,train,train,train
18,CHEMBL420,6.83,N=C(N)N/N=C/c1c(Cl)cccc1Cl,False,ignore,test-nonNP,ignore,ignore,ignore,train,test-nonNP,train,train,train,train,test-nonNP,train,train,train
19,CHEMBL954,5.8,CCN(CC)CCOc1ccc(/C(=C(/Cl)c2ccccc2)c2ccccc2)cc1,False,ignore,test-nonNP,ignore,ignore,ignore,train,test-nonNP,train,train,train,train,test-nonNP,train,train,train
20,CHEMBL1083787,5.12,O=C(NCCCCN1CCCCC1)Nc1ccc(-c2ccc(F)cc2)nc1,False,ignore,ignore,test-nonNP,ignore,ignore,train,train,test-nonNP,train,train,train,train,test-nonNP,train,train
